BDBD,20131014,0.5446,0.5964,0.5705,0,0,3240,1855
BDC,20131014,0.3412,0.4413,0.3912,0,11,609,1218
BDE,20131014,0.6982,0.6929,0.6956,21,83,255,5
BDN,20131014,0.428,0.4095,0.4187,0,0,257,57
BDSI,20131014,0.7176,1.3569,1.0372,20,0,1531,290
BDX,20131014,0.1898,0.2429,0.2163,149,23,4771,3728
BEAM,20131014,0.2588,0.2902,0.2745,276,39,26107,11823
BEAT,20131014,1.0446,1.0203,1.0325,36,0,8562,5512
BEAV,20131014,0.2666,0.3028,0.2847,127,170,13538,6464
BEBE,20131014,0.532,0.5156,0.5238,10,10,2386,1198
BECN,20131014,0.3537,0.3737,0.3637,0,0,1452,1535
BEE,20131014,0.7334,0.8005,0.767,2667,0,838,191
BEN,20131014,0.2799,0.2919,0.2859,181,805,35583,65617
BERY,20131014,0.539,0.5609,0.5499,84,85,3222,9635
BF.B,20131014,0.1922,0.1881,0.1902,6,0,398,605
BFAM,20131014,0.4322,0.5365,0.4843,0,0,81,12
BFIN,20131014,4.8681,5.0274,4.9478,0,0,6,0
BFOR,20131014,0.1857,0.2042,0.195,0,0,1,4
BFR,20131014,0.8814,0.9421,0.9117,6,10,176,212
BG,20131014,0.2224,0.2489,0.2356,782,42,38358,35214
BGC,20131014,0.3948,0.4119,0.4034,44,61,6053,3335
BGCP,20131014,0.6199,0.6719,0.6459,70,566,13330,4453
BGFV,20131014,0.5893,0.86,0.7246,0,0,1631,642
BGG,20131014,0.4031,0.4686,0.4359,75,7,3347,765
BGS,20131014,0.311,0.3679,0.3395,7,2,2236,1401
BHE,20131014,0.3165,0.3913,0.3539,0,0,261,115
BHI,20131014,0.2914,0.313,0.3022,4552,7280,152952,85721
BHLB,20131014,1.6638,1.7857,1.7248,0,0,4,0
BHP,20131014,0.2496,0.2513,0.2504,773,830,51508,73443
BIB,20131014,0.6285,0.6556,0.6421,9,5,182,118
BID,20131014,0.3793,0.3854,0.3824,918,614,36726,59649
BIDU,20131014,0.4939,0.497,0.4955,8311,5074,170013,154535
